Survived,Pclass,Sex,Age,Embarked
0,3,male,24,S
0,3,male,19,S
0,3,female,29,S
1,3,male,32,S
1,2,male,62,S
1,1,female,53,S
1,1,male,36,S
0,3,male,16,S
0,3,male,19,S
1,2,female,34,S
1,1,female,39,S
1,3,male,32,S
1,2,female,25,S
1,1,female,39,C
0,2,male,54,S
0,1,male,36,C
1,1,female,18,S
0,2,male,47,S
1,1,male,60,C
0,3,male,22,S
0,3,male,35,S
1,1,female,52,C
0,3,male,47,S
0,2,male,37,S
0,3,male,36,S
0,3,male,49,S
1,1,male,49,C
1,2,female,24,S
0,3,male,44,S
1,1,male,35,C
0,3,male,36,S
0,3,male,30,S
1,1,male,27,S
1,2,female,22,C
1,1,female,40,S
0,3,female,39,S
0,3,male,35,S
1,2,female,24,S
0,3,male,34,S
0,3,female,26,S
1,2,female,4,S
0,2,male,26,S
0,3,male,27,C
1,1,male,42,S
1,3,male,20,C
0,3,male,21,S
0,3,male,21,S
0,1,male,61,S
0,2,male,57,Q
1,1,female,21,S
0,3,male,26,S
1,1,male,80,S
0,3,male,51,S
1,1,male,32,C
0,3,female,9,S
1,2,female,28,S
0,3,male,32,S
0,2,male,31,S
0,3,female,41,S
0,3,male,20,S
1,1,female,24,C
0,3,female,2,S
1,3,female,0.75,C
1,1,male,48,C
0,3,male,19,S
1,1,male,56,C
1,3,female,23,S
1,2,female,18,S
0,3,male,21,S
0,3,female,18,Q
0,2,male,24,S
0,3,female,32,Q
0,2,male,23,S
0,1,male,58,C
1,1,male,50,S
0,3,male,40,C
0,1,male,47,S
0,3,male,36,S
1,3,male,20,S
0,2,male,32,S
0,2,male,25,S
0,3,male,43,S
1,2,female,40,S
0,1,male,31,S
0,2,male,70,S
1,2,male,31,S
0,3,male,18,S
0,3,male,24.5,S
1,3,female,18,S
0,3,female,43,S
1,1,male,36,C
1,1,male,27,C
0,3,male,20,S
0,3,male,14,S
0,2,male,60,S
0,2,male,25,C
0,3,male,14,S
0,3,male,19,S
0,3,male,18,S
1,1,female,15,S
1,1,male,31,S
1,3,female,4,C
0,3,male,25,C
0,1,male,60,S
0,2,male,52,S
0,3,male,44,S
0,1,male,49,C
0,3,male,42,S
1,1,female,18,C
1,1,male,35,S
0,3,female,18,C
0,3,male,25,Q
0,3,male,26,S
0,2,male,39,S
1,2,female,45,S
1,1,male,42,S
1,1,female,22,S
1,1,female,24,C
1,1,male,48,S
0,3,male,29,S
0,2,male,52,S
0,3,male,19,S
1,1,female,38,C
1,2,female,27,S
0,3,male,33,S
1,2,female,6,S
0,3,male,17,S
0,2,male,34,S
0,2,male,50,S
1,1,male,27,S
0,3,male,20,S
1,2,female,30,S
0,2,male,25,S
0,3,female,25,S
1,1,female,29,S
0,3,male,11,C
0,2,male,23,S
0,2,male,23,S
0,3,male,28.5,S
0,3,female,48,S
1,1,male,35,C
0,1,male,36,S
1,1,female,21,C
0,3,male,24,S
1,3,male,31,S
0,1,male,70,S
0,3,male,16,S
1,2,female,30,S
0,1,male,19,S
0,3,male,31,Q
1,2,female,4,S
1,3,male,6,S
0,3,male,33,S
0,3,male,23,S
1,2,female,48,S
1,2,male,0.67,S
0,3,male,28,S
0,2,male,18,S
0,3,male,34,S
1,1,female,33,S
0,3,male,41,S
1,3,male,20,C
1,1,female,36,S
0,3,male,16,S
1,1,female,51,S
0,3,female,30.5,Q
0,3,male,32,S
0,3,male,24,S
0,3,male,48,S
0,2,female,57,S
1,2,female,54,S
0,3,male,18,S
1,3,female,5,S
1,1,female,43,S
1,3,female,13,C
1,1,female,17,S
0,1,male,29,S
0,3,male,25,S
0,3,male,25,S
1,3,female,18,S
0,3,male,8,Q
1,3,male,1,S
0,1,male,46,C
0,2,male,16,S
0,3,male,25,S
0,2,male,39,S
1,1,female,49,S
1,3,female,31,S
0,3,male,30,C
0,3,female,30,S
0,2,male,34,S
1,2,female,31,S
1,1,male,11,S
1,3,male,0.42,C
1,3,male,27,S
0,3,male,31,S
0,1,male,39,S
0,3,female,18,S
0,2,male,39,S
1,1,female,33,S
0,3,male,26,S
0,3,male,39,S
0,2,male,35,S
0,3,female,6,S
0,3,male,30.5,S
0,3,female,23,S
0,2,male,31,C
0,3,male,43,S
0,3,male,10,S
1,1,female,52,S
1,3,male,27,S
0,1,male,38,S
1,3,female,27,S
0,3,male,2,S
1,2,male,1,C
1,1,female,62,
1,3,female,15,C
1,2,male,0.83,S
0,3,male,23,S
0,3,male,18,S
1,1,female,39,C
0,3,male,21,S
1,3,male,32,S
0,3,male,20,S
0,2,male,16,S
1,1,female,30,C
0,3,male,34.5,C
0,3,male,17,S
0,3,male,42,S
0,3,male,35,C
0,2,male,28,S
0,3,male,4,S
0,3,male,74,S
0,3,female,9,C
1,1,female,16,S
0,2,female,44,S
1,3,female,18,S
1,1,female,45,S
1,1,male,51,S
1,3,female,24,C
0,3,male,41,S
0,2,male,21,S
1,1,female,48,S
0,2,male,24,S
1,2,female,42,S
1,2,female,27,C
0,1,male,31,S
1,3,male,4,S
0,3,male,26,S
1,1,female,47,S
0,1,male,33,S
0,3,male,47,S
1,2,female,28,C
1,3,female,15,C
0,3,male,20,S
0,3,male,19,S
1,1,female,56,C
1,2,female,25,S
0,3,male,33,S
0,3,female,22,S
0,2,male,28,S
0,3,male,25,S
0,3,female,39,Q
0,2,male,27,S
1,1,female,19,S
1,1,male,26,C
0,3,male,32,Q
